Animal ID,house_number,street_name,city,state
A846695,,,Unknown,
A857681,,,Unknown,
A841954,,,Austin,TX
A841950,,,Austin,TX
A822449,,,Unknown,
A901263,,,Unknown,
A791868,,,Unknown,
A819685,,,Unknown,
A895468,,,Unknown,
A813735,,,Unknown,
A898254,,,Unknown,
A865167,,,Unknown,
A900998,,,Unknown,
A827768,,,Unknown,
A783803,,,Unknown,
A854098,,,Unknown,
A898251,,,Unknown,
A912672,,,Unknown,
A889026,,,Unknown,
A822360,,,Unknown,
A812791,,,Unknown,
A858587,,,Unknown,
A873986,,,Unknown,
A860880,,,Unknown,
A872885,,,Unknown,
A812451,,,Unknown,
A829801,,,Unknown,
A882172,,,Unknown,
A843960,,,Unknown,
A877592,,,Travis County,TX
A861295,,,Unknown,
A891455,,,Unknown,
A849387,,,Unknown,
A894836,,,Unknown,
A878316,,,Unknown,
A864489,,,Unknown,
A823615,,,Unknown,
A834254,,,Unknown,
A830233,,,Unknown,
A836048,,,Unknown,
A893804,,,Unknown,
A835831,,,Unknown,
A847897,,,Unknown,
A824342,,,Unknown,
A839473,,,Unknown,
A890634,,,Unknown,
A836425,,,Unknown,
A812974,,,Unknown,
A851139,,,Unknown,
A885911,,,Unknown,
A872347,,,Unknown,
A848187,,,Unknown,
A847951,,,Unknown,
A827576,,,Unknown,
A828404,,,Unknown,
A922805,,,Unknown,
A878486,,,Unknown,
A839685,,,Unknown,
A857553,,,Unknown,
A847909,,,Unknown,
A895469,,,Unknown,
A844359,,,Unknown,
A844851,,,Unknown,
A657146,,,Unknown,
A898795,,,Unknown,
A929646,,,Unknown,
A813055,,,Unknown,
A828035,,,Unknown,
A907765,,,Unknown,
A845471,,,Unknown,
A905708,,,Unknown,
A866783,,,Unknown,
A920978,,,Unknown,
A817497,,,Unknown,
A848000,,,Unknown,
A928093,,,Unknown,
A840958,,,Unknown,
A821591,,,Unknown,
A903723,,,Unknown,
A806379,,,Unknown,
A846503,,,Unknown,
A879157,,,Unknown,
A896303,,,Unknown,
A902072,,,Unknown,
A912917,,,Unknown,
A857934,,,Unknown,
A896304,,,Unknown,
A854014,,,Unknown,
A850918,,,Unknown,
A866690,,,Unknown,
A929403,,,Unknown,
A832580,,,Unknown,
A925130,,,Unknown,
A875268,,,Unknown,
A865368,,,Unknown,
A870074,,,Unknown,
A893436,,,Unknown,
A877008,,,Unknown,
A847584,,,Unknown,
A913473,,,Unknown,
A904145,,,Unknown,
A837702,,,Unknown,
A892828,,,Unknown,
A897414,,,Unknown,
A879895,,,Unknown,
A925127,,,Unknown,
A832162,,,Unknown,
A886347,,,Unknown,
A861295,,,Unknown,
A834624,,,Unknown,
A921156,,,Unknown,
A925723,,,Unknown,
A875954,,,Unknown,
A847898,,,Unknown,
A882172,,,Unknown,
A866688,,,Unknown,
A907004,,,Unknown,
A836314,,,Unknown,
A821201,,,Unknown,
A905404,,,Unknown,
A824343,,,Unknown,
A876204,,,Unknown,
A887508,,,Unknown,
A822604,,,Unknown,
A888981,,,Unknown,
A802076,,,Unknown,
A834247,,,Unknown,
A917172,,,Unknown,
A872632,,,Unknown,
A899377,,,Unknown,
A878053,,,Unknown,
A872508,,,Unknown,
A840746,,,Unknown,
A886346,,,Unknown,
A884026,,,Unknown,
A841953,,,Austin,TX
A819895,,,Austin,TX
A864465,,,Austin,TX
A861173,,,Unknown,
A676602,,,Unknown,
A847903,,,Unknown,
A919596,,,Unknown,
A813933,,,Unknown,
A889819,,,Unknown,
A878055,,,Unknown,
A891814,,,Unknown,
A892286,,,Unknown,
A864284,,,Unknown,
A826259,,,Unknown,
A841949,,,Austin,TX
A901298,,,Unknown,
A910532,,,Unknown,
A831207,,,Unknown,
A906702,,,Unknown,
A883656,,,Unknown,
A838370,,,Unknown,
A857891,,,Unknown,
A903251,,,Unknown,
A854279,,,Unknown,
A911929,,,Unknown,
A784638,,,Unknown,
A928241,,,Unknown,
A716432,,,Unknown,
A916668,,,Unknown,
A855396,,,Unknown,
A800911,,,Unknown,
A825297,,,Unknown,
A895946,,,Unknown,
A818743,,,Unknown,
A808460,,,Unknown,
A906855,,,Unknown,
A910284,,,Unknown,
A891146,,,Unknown,
A827385,,,Unknown,
A833420,,,Unknown,
A867019,,,Unknown,
A845149,,,Unknown,
A881273,,,Unknown,
A861966,,,Unknown,
A916069,,,Unknown,
A837307,,,Unknown,
A901260,,,Unknown,
A858381,,,Austin,TX
A905397,,,Unknown,
A857751,,,Unknown,
A852387,,,Unknown,
A925128,,,Unknown,
A928806,,,Unknown,
A926354,,,Unknown,
A839479,,,Unknown,
A885042,,,Unknown,
A794669,,,Unknown,
A846577,,,Unknown,
A829674,,,Unknown,
A879209,,,Unknown,
A858665,,,Unknown,
A835831,,,Unknown,
A884764,,,Unknown,
A878054,,,Unknown,
A813055,,,Unknown,
A861974,,,Unknown,
A910431,,,Unknown,
A853854,,,Unknown,
A899728,,,Unknown,
A811282,,,Unknown,
A855504,,,Unknown,
A871205,,,Unknown,
A845294,,,Unknown,
A852592,,,Unknown,
A812396,,,Unknown,
A807704,,,Unknown,
A927127,,,Unknown,
A819730,,,Unknown,
A865546,,,Unknown,
A890175,,,Unknown,
A837086,,,Unknown,
A903607,,,Unknown,
A886216,,,Unknown,
A866689,,,Unknown,
A836735,,,Unknown,
A878543,,,Unknown,
A882845,,,Unknown,
A912959,,,Unknown,
A916892,,,Unknown,
A881691,,,Unknown,
A882666,,,Unknown,
A684959,,,Unknown,
A847300,,,Unknown,
A886348,,,Unknown,
A884391,,,Unknown,
A843297,,,Unknown,
A893959,,,Unknown,
A814427,,,Unknown,
A884394,,,Unknown,
A847777,,,Unknown,
A847088,,,Unknown,
